mental,random,story,math
0.588703036,0.63096361,0.481263532,0.594996159
0.603159007,0.534026537,0.638572301,0.577894083
0.27141551,0.302971259,0.423167227,0.354773674
0.311814542,0.390549787,0.59144987,0.485284653
0.45587889,0.549212896,0.425117439,0.412980331
0.57715863,0.632851243,0.63668198,0.677233964
0.603143609,0.574394074,0.626425004,0.649191635
0.642056106,0.67210576,0.683637258,0.630076898
0.281958014,0.178033937,0.31710587,0.213479159
0.374182972,0.363759701,0.445610618,0.482602486
0.286204521,0.367473269,0.350585122,0.365557986
0.527186668,0.465770017,0.393480053,0.470949411
0.302022421,0.368420378,0.35986501,0.312068994
0.730451062,0.796457485,0.819271293,0.778934231
0.643698482,0.668505653,0.543851991,0.651282122
0.536878635,0.675784974,0.644048345,0.592178384
0.549051666,0.610409618,0.615008797,0.539369731
0.549730503,0.671057107,0.591798697,0.563363268
0.718886186,0.725255962,0.749946309,0.671209796
0.531284169,0.323049929,0.464463418,0.45831
0.522789134,0.537282933,0.392756976,0.463702391
0.493309853,0.515718639,0.610559003,0.479997246
0.413653994,0.554438512,0.541782599,0.543252445
0.295399571,0.307217088,0.445732773,0.327118359
0.450049639,0.62832048,0.474011786,0.516255934
0.601041496,0.584077183,0.453632553,0.506282567
0.420361042,0.533185523,0.394287831,0.347461439
0.652848521,0.589559798,0.663392726,0.700844127
0.685731839,0.605768591,0.542923163,0.600112902
0.541246333,0.307848611,0.604386389,0.618382409
0.532087488,0.528274995,0.564428933,0.554137524
0.624157448,0.664675391,0.691553888,0.583282826
0.534191538,0.57579504,0.469154852,0.506659783
0.351075913,0.35787662,0.318818829,0.385720226
0.462103851,0.581700951,0.597273698,0.530181876
0.389071448,0.410197118,0.461197251,0.366424536
0.377396594,0.323403327,0.385748402,0.353304117
0.625107341,0.530168941,0.464577162,0.556320085
0.408067301,0.510589342,0.563236603,0.552324409
0.442473718,0.462462856,0.418522393,0.449431399
0.412434089,0.56895053,0.47044968,0.380015931
0.674181556,0.67432229,0.73476071,0.690846897
0.631635436,0.546400926,0.598228316,0.641871377
0.541229748,0.545393437,0.626264992,0.539911966
0.426330926,0.459318404,0.516023817,0.474218247
0.555483263,0.49340138,0.640389557,0.57712162
